"college","city","state","region","locale","lat","long","school_type","adm_rate","adm_rate_all","avg_net_pub","avg_net_priv","avg_cost","avg_tuition","population","avg_fam_inc","md_fam_inc","pct_loan","pct_pell","md_debt","md_earnings_10","pct_25k","default_rate","repay_rate","comp_deg","eng_deg","engtech_deg","math_deg","sci_deg"
"Elmira College","Elmira","NY",2,"13","42.092724","-76.811333","2","0.8221","0.82207792207792","NULL","24653",50722,14188,"1318","79447.5406","67409.14861","0.7301","0.3104",27000,42500,0.795,0.043,"0.8285714286",0,0,0,0.0127,0.019
"Five Towns College","Dix Hills","NY",2,"21","40.793327","-73.369968","3","0.5612","0.56119402985074","NULL","21764",32498,12388,"637","62426.58869","42831.9495","0.7487","0.457",25292.5,33500,0.639,0.107,"0.6252545825",0,0,0,0,0
"Fordham University","Bronx","NY",2,"11","40.861183","-73.889578","2","0.4812","0.48115467344544","NULL","33972",59105,26498,"8485","121873.99","89934.54027","0.5274","0.1977",25000,56200,0.829,0.024,"0.8493706862",0.0217,0.0062,0,0.0186,0.0119
"Hamilton College","Clinton","NY",2,"41","43.047809","-75.408853","2","0.2635","0.26345888384933","NULL","23121",59590,30824,"1890","104767.5683","81167.87097","0.3718","0.1407",15300,54800,0.844,0.021,"0.9292604502",0.024,0,0,0.042,0.066
"Hartwick College","Oneonta","NY",2,"33","42.454023","-75.073609","2","0.8956","0.89555202541699","NULL","24387",50483,20529,"1528","82748.46863","70258.19219","0.7176","0.3195",27000,41800,0.734,0.056,"0.8421052632",0.0172,0,0,0.0143,0.0315
"Hilbert College","Hamburg","NY",2,"21","42.75505","-78.82029","2","0.8063","0.80627099664053","NULL","15399",26092,14015,"932","58511.51033","43506.557","0.7865","0.4663",25536,39800,0.765,0.114,"0.6910197869",0.0363,0,0,0,0
"Hobart William Smith Colleges","Geneva","NY",2,"32","42.857725","-76.984533","2","0.4753","0.47531347962382","NULL","30108",59850,24777,"2344","134725.9408","114279.04","0.4848","0.1639",27000,48600,0.829,0.019,"0.8978805395",0.0145,0,0,0.0227,0.0434
"Hofstra University","Hempstead","NY",2,"21","40.715959","-73.60078","2","0.6161","0.61611338487191","NULL","30731",51214,26052,"6803","90048.59824","71137.05248","0.5324","0.234",23500,53100,0.821,0.042,"0.7891019173",0.01,0.0164,0,0.0143,0.0071
"Houghton College","Houghton","NY",2,"43","42.426841","-78.156882","2","0.9381","0.93813131313131","NULL","21634",39545,14302,"1010","63693.04085","57977.63208","0.7125","0.4107",25500,41800,0.76,0.033,"0.852991453",0.0063,0,0,0.0127,0.0476
"Iona College","New Rochelle","NY",2,"21","40.927107","-73.785635","2","0.867","0.86697365055001","NULL","25972",46329,20138,"3052","92216.00497","69027.41006","0.577","0.2628",25400,51800,0.834,0.048,"0.8041775457",0.015,0,0,0.0082,0.0231
"Ithaca College","Ithaca","NY",2,"23","42.42264","-76.495057","2","0.5911","0.59114626242653","NULL","33157",55515,21592,"6087","107387.3171","92581.50733","0.6816","0.2007",26000,50400,0.833,0.022,"0.9208515284",0.0087,0,0,0.0043,0.0145
"Keuka College","Keuka Park","NY",2,"32","42.61541","-77.090518","2","0.8286","0.82859226841721","NULL","25546",42881,14232,"1797","52409.49254","41217.87921","0.7732","0.4295",27000,42100,0.787,0.05,"0.7598371777",0,0,0,0.0106,0
"Le Moyne College","Syracuse","NY",2,"12","43.047316","-76.088449","2","0.6595","0.65952342875419","NULL","21627",42943,15242,"2728","84858.14901","74935.10637","0.6944","0.321",26248.5,48500,0.834,0.041,"0.8291413703",0.0135,0,0,0.0186,0.027
"LIU Brooklyn","Brooklyn","NY",2,"11","40.690134","-73.980872","2","0.8633","0.84689248450022","NULL","22304",43649,24979,"4755","46756.71766","27278.33419","0.6916","0.5985",25499,44600,0.761,0.059,"0.6449103091",0.0143,0.0014,0,0.0014,0.0014
